Concept,ISO_Code,Similarity_ColdWar,Similarity_PostColdWar,Deviation_ColdWar,Deviation_PostColdWar,Deviation_Shift,Bloc
sovereignty,AGO,0.5273093,0.45115346,0.4726907014846802,0.5488465428352356,0.07615584135055542,Global South (G77/Rest of World)
sovereignty,VNM,0.50978,0.5121383,0.49022001028060913,0.487861692905426,-0.0023583173751831055,Global South (G77/Rest of World)
sovereignty,VAT,0.09220365,0.30774465,0.9077963531017303,0.6922553479671478,-0.21554100513458252,Global South (G77/Rest of World)
sovereignty,DMA,0.103301875,0.61600477,0.8966981247067451,0.3839952349662781,-0.5127028897404671,Global South (G77/Rest of World)
sovereignty,DJI,0.4624284,0.49425697,0.5375716090202332,0.5057430267333984,-0.03182858228683472,Global South (G77/Rest of World)
sovereignty,LCA,0.5362536,0.43160552,0.46374642848968506,0.5683944821357727,0.10464805364608765,Global South (G77/Rest of World)
sovereignty,ZWE,0.5471769,0.5549135,0.45282310247421265,0.4450864791870117,-0.007736623287200928,Global South (G77/Rest of World)
sovereignty,VCT,0.4158296,0.54573107,0.584170401096344,0.4542689323425293,-0.1299014687538147,Global South (G77/Rest of World)
sovereignty,ATG,0.3888777,0.48411974,0.6111223101615906,0.5158802568912506,-0.09524205327033997,Global South (G77/Rest of World)
sovereignty,BLZ,0.51279944,0.5157342,0.4872005581855774,0.4842658042907715,-0.002934753894805908,Global South (G77/Rest of World)
sovereignty,VUT,0.20572793,0.3792251,0.7942720651626587,0.620774894952774,-0.17349717020988464,Global South (G77/Rest of World)
sovereignty,SLB,0.46298757,0.5061302,0.5370124280452728,0.4938697814941406,-0.0431426465511322,Global South (G77/Rest of World)
sovereignty,BRN,0.5026761,0.50689155,0.4973238706588745,0.49310845136642456,-0.004215419292449951,Global South (G77/Rest of World)
sovereignty,KNA,0.32845354,0.35142964,0.671546459197998,0.6485703587532043,-0.0229761004447937,Global South (G77/Rest of World)
sovereignty,NAM,0.43037382,0.5341983,0.5696261823177338,0.4658017158508301,-0.10382446646690369,Global South (G77/Rest of World)
sovereignty,FSM,0.0022497773,0.3631112,0.9977502226829529,0.6368888020515442,-0.3608614206314087,Global South (G77/Rest of World)
sovereignty,PRK,0.15380016,0.5238087,0.8461998403072357,0.47619128227233887,-0.37000855803489685,Global South (G77/Rest of World)
sovereignty,EST,0.3171258,0.43735206,0.6828742027282715,0.5626479387283325,-0.12022626399993896,Global South (G77/Rest of World)
sovereignty,MHL,0.16243914,0.23851022,0.8375608623027802,0.7614897787570953,-0.07607108354568481,Global South (G77/Rest of World)
law,TTO,0.43155506,0.5348415,0.5684449374675751,0.46515852212905884,-0.10328641533851624,Global South (G77/Rest of World)
law,QAT,0.395208,0.55409247,0.6047919988632202,0.4459075331687927,-0.1588844656944275,Global South (G77/Rest of World)
law,ZAF,0.49825647,0.49641132,0.5017435252666473,0.5035886764526367,0.0018451511859893799,Global South (G77/Rest of World)
law,USA,0.23390931,0.41620874,0.7660906910896301,0.5837912559509277,-0.1822994351387024,P5 (Major Powers)
law,GTM,0.5350297,0.4680388,0.46497029066085815,0.53196120262146,0.0669909119606018,Global South (G77/Rest of World)
law,SDN,0.53708875,0.52601933,0.4629112482070923,0.4739806652069092,0.011069416999816895,Global South (G77/Rest of World)
law,MAR,0.48430753,0.45815086,0.5156924724578857,0.5418491363525391,0.02615666389465332,Global South (G77/Rest of World)
law,CAN,0.437307,0.4672297,0.5626929998397827,0.5327703058719635,-0.029922693967819214,Global North (Western/Allies)
law,ESP,0.46664482,0.4889681,0.533355176448822,0.5110318958759308,-0.022323280572891235,Global North (Western/Allies)
law,MRT,0.3833426,0.34631273,0.6166574060916901,0.6536872684955597,0.03702986240386963,Global South (G77/Rest of World)
law,HTI,0.4277711,0.51246667,0.5722289085388184,0.4875333309173584,-0.08469557762145996,Global South (G77/Rest of World)
law,MLT,0.44333035,0.3882757,0.5566696524620056,0.6117242872714996,0.05505463480949402,Global South (G77/Rest of World)
law,IRQ,0.5836936,0.54258823,0.41630637645721436,0.4574117660522461,0.04110538959503174,Global South (G77/Rest of World)
law,JAM,0.5917635,0.35756457,0.4082365036010742,0.6424354314804077,0.2341989278793335,Global South (G77/Rest of World)
law,YEM,0.5474561,0.50956404,0.4525439143180847,0.49043595790863037,0.037892043590545654,Global South (G77/Rest of World)
law,SOM,0.39886022,0.42120427,0.6011397838592529,0.5787957310676575,-0.02234405279159546,Global South (G77/Rest of World)
law,NGA,0.4553731,0.44513637,0.5446268916130066,0.5548636317253113,0.010236740112304688,Global South (G77/Rest of World)
law,SEN,0.3795327,0.39616737,0.6204673051834106,0.6038326323032379,-0.01663467288017273,Global South (G77/Rest of World)
law,IRN,0.5503308,0.5467354,0.4496691823005676,0.45326459407806396,0.003595411777496338,Global South (G77/Rest of World)
